Category: All categories

Month,pinball: (Cleveland-Akron (Canton) OH)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,75
2004-07,0
2004-08,66
2004-09,74
2004-10,85
2004-11,92
2004-12,82
2005-01,76
2005-02,50
2005-03,66
2005-04,57
2005-05,0
2005-06,0
2005-07,67
2005-08,86
2005-09,36
2005-10,47
2005-11,52
2005-12,100
2006-01,37
2006-02,38
2006-03,37
2006-04,44
2006-05,39
2006-06,30
2006-07,44
2006-08,55
2006-09,42
2006-10,54
2006-11,72
2006-12,65
2007-01,53
2007-02,52
2007-03,42
2007-04,41
2007-05,34
2007-06,39
2007-07,41
2007-08,50
2007-09,47
2007-10,34
2007-11,66
2007-12,52
2008-01,40
2008-02,37
2008-03,43
2008-04,60
2008-05,36
2008-06,44
2008-07,40
2008-08,43
2008-09,45
2008-10,52
2008-11,39
2008-12,54
2009-01,39
2009-02,57
2009-03,42
2009-04,36
2009-05,39
2009-06,28
2009-07,44
2009-08,41
2009-09,40
2009-10,43
2009-11,50
2009-12,44
2010-01,47
2010-02,42
2010-03,50
2010-04,45
2010-05,47
2010-06,33
2010-07,47
2010-08,53
2010-09,45
2010-10,49
2010-11,54
2010-12,50
2011-01,44
2011-02,42
2011-03,39
2011-04,51
2011-05,51
2011-06,40
2011-07,33
2011-08,38
2011-09,41
2011-10,37
2011-11,39
2011-12,37
2012-01,32
2012-02,37
2012-03,47
2012-04,46
2012-05,38
2012-06,40
2012-07,40
2012-08,34
2012-09,35
2012-10,39
2012-11,43
2012-12,44
2013-01,31
2013-02,40
2013-03,39
2013-04,33
2013-05,29
2013-06,28
2013-07,29
2013-08,26
2013-09,26
2013-10,23
2013-11,27
2013-12,45
2014-01,41
2014-02,38
2014-03,37
2014-04,30
2014-05,35
2014-06,31
2014-07,23
2014-08,36
2014-09,36
2014-10,30
2014-11,42
2014-12,38
2015-01,36
2015-02,31
2015-03,37
2015-04,31
2015-05,31
2015-06,25
2015-07,31
2015-08,36
2015-09,38
2015-10,33
2015-11,28
2015-12,41
2016-01,28
2016-02,31
2016-03,35
2016-04,28
2016-05,24
2016-06,24
2016-07,24
2016-08,26
2016-09,31
2016-10,24
2016-11,28
2016-12,28
2017-01,33
2017-02,32
2017-03,39
2017-04,35
2017-05,29
2017-06,23
2017-07,27
2017-08,28
2017-09,31
2017-10,29
2017-11,27
2017-12,31
2018-01,30
2018-02,33
2018-03,37
2018-04,33
2018-05,30
2018-06,27
2018-07,29
2018-08,31
2018-09,38
2018-10,28
2018-11,34
2018-12,35
2019-01,36
2019-02,35
2019-03,35
2019-04,32
2019-05,35
2019-06,28
2019-07,31
2019-08,30
2019-09,28
2019-10,32
2019-11,33
2019-12,34
2020-01,32
2020-02,31
2020-03,28
2020-04,22
2020-05,21
2020-06,22
2020-07,23
2020-08,23
2020-09,23
2020-10,26
2020-11,26
2020-12,33
2021-01,30
2021-02,31
2021-03,29
2021-04,29
2021-05,28
2021-06,25
2021-07,27
2021-08,28
2021-09,27
2021-10,29
2021-11,36
2021-12,40
2022-01,34
2022-02,42
2022-03,37
2022-04,38
2022-05,35
2022-06,37
2022-07,36
2022-08,34
2022-09,43
2022-10,38
2022-11,42
2022-12,42
2023-01,46
2023-02,43
2023-03,47
2023-04,45
2023-05,31
2023-06,32
2023-07,33
2023-08,40
2023-09,43
2023-10,35
2023-11,43
2023-12,43
2024-01,41
2024-02,38
2024-03,36
2024-04,32
2024-05,31
2024-06,26
2024-07,35
2024-08,40
2024-09,42
2024-10,36
2024-11,39
2024-12,40
2025-01,43
2025-02,37
2025-03,41
2025-04,37
2025-05,37
2025-06,38
2025-07,36
