,city,state,lat,lon
0,Middletown,NY,41.4459271,-74.42293409999999
1,Sharonville,OH,39.2681136,-84.4132746
2,Boise,ID,43.6150186,-116.2023137
3,Columbia,MO,38.951768,-92.32829319999999
4,Savage,MN,44.7647329,-93.3591147
5,St. Cloud,MN,45.5579451,-94.16324039999999
6,Oviedo,FL,28.669997,-81.20812029999999
7,Frisco,CO,39.5744309,-106.0975203
8,Saginaw,MI,43.4195608,-83.9473706
9,Tempe,AZ,33.4255104,-111.9400054
10,Traverse City,MI,44.7628849,-85.6210036
11,East Rochester,NY,43.10867409999999,-77.4874959
12,Wilmington,NC,34.2103894,-77.8868117
13,Portland,OR,45.515232,-122.6783853
14,Southington,CT,41.5964869,-72.8776013
15,Hamilton,NJ,40.230906,-74.72270929999999
16,Toledo,OH,41.6528052,-83.5378674
17,Greenville,SC,34.8484984,-82.40001579999999
18,La Porte,IN,41.611143,-86.7227195
19,Bay City,MI,43.5944677,-83.8888647
20,Seattle,WA,47.6061389,-122.3328481
21,Marietta,GA,33.9532531,-84.5499358
22,Bridgeville,PA,40.3561805,-80.1100556
23,Reno,NV,39.529919,-119.8142691
24,Memphis,TN,35.1485812,-90.0518955
25,Madison,WI,43.0721661,-89.4007501
26,Fredericksburg,VA,38.3003751,-77.4588059
27,Olympia,WA,47.0451842,-122.895355
28,Littleton,CO,39.613321,-105.0166498
29,Brunswick,ME,43.91461400000001,-69.96490539999999
30,Galesburg,IL,40.94781580000001,-90.3712395
31,Mesa,AZ,33.4151843,-111.8314724
32,Centerville,OH,39.6283928,-84.15938179999999
33,Malvern,PA,40.0362184,-75.5138118
34,Bremerton,WA,47.5650067,-122.6269768
35,Eugene,OR,44.052121,-123.0896705
36,Merced,CA,37.302947,-120.484268
37,Astoria,OR,46.1878841,-123.8312534
38,Morristown,NJ,40.7922983,-74.4763123
39,Knoxville,TN,35.965266,-83.923304
40,Washington,DC,38.9071923,-77.0368707
41,Lapeer,MI,43.0514161,-83.31883409999999
42,Cambridge,MA,42.3666036,-71.1056916
43,Detroit Lakes,MN,46.8171808,-95.8453253
44,Whitewater,WI,42.83362049999999,-88.7323272
45,Arlington,TX,32.735687,-97.10806559999999
46,Spokane Valley,WA,47.6732281,-117.2393748
47,Monroe,MI,41.9164343,-83.3977101
48,Meriden,CT,41.5381535,-72.80704349999999
49,Fort Wayne,IN,41.0794759,-85.1362929
50,Ashland,VA,37.7590318,-77.47998369999999
51,Austin,TX,30.267153,-97.7430608
52,Rocklin,CA,38.7907339,-121.2357828
53,Detroit,MI,42.32971819999999,-83.0424533
54,Sebastopol,CA,38.4021359,-122.8238806
55,Woodinville,WA,47.7542651,-122.1634582
56,Long Beach,CA,33.7700504,-118.1937395
57,Oshkosh,WI,44.0247062,-88.5426136
58,Atlanta,GA,33.7501275,-84.3885209
59,Spring Hill,TN,35.751179,-86.9300023
60,Pittsburgh,PA,40.4386612,-79.99723519999999
61,Charlottesville,VA,38.0301826,-78.4769353
62,Chicago,IL,41.88325,-87.6323879
63,Cincinnati,OH,39.1031182,-84.5120196
64,Denver,CO,39.7392358,-104.990251
65,Mukwonago,WI,42.8631124,-88.332347
66,Covina,CA,34.0900091,-117.8903397
67,St. Louis,MO,38.62742799999999,-90.1982439
68,Asheville,NC,35.5975104,-82.54605629999999
69,Columbia,SC,34.0008322,-81.035147
70,Omaha,NE,41.2565369,-95.9345034
71,Queens,NY,40.7282239,-73.7948516
72,Bellefonte,PA,40.91339430000001,-77.7783348
73,San Francisco,CA,37.7749295,-122.4194155
74,Louisville,KY,38.2468618,-85.7663724
75,Rock Hill,SC,34.9237871,-81.0281674
76,Jacksonville,FL,30.3297566,-81.6591529
77,Waterloo,IA,42.492786,-92.34257749999999
78,Milwaukee,WI,43.0410344,-87.9096783
79,Tampa,FL,27.9516896,-82.45875269999999
80,Round Rock,TX,30.5082551,-97.678896
81,Springfield,MA,42.1013104,-72.58927419999999
82,Pawtucket,RI,41.878711,-71.38255579999999
83,Kansas City,KS,39.11553139999999,-94.62678729999999
84,Independence,KY,38.94311829999999,-84.54410899999999
85,Manassas,VA,38.7512726,-77.4706769
86,Meridianville,AL,34.8699372,-86.57138499999999
87,South Burlington,VT,44.4654257,-73.17718719999999
88,Midland,MI,43.6155825,-84.2472116
89,San Antonio,TX,29.4251905,-98.4945922
90,Peosta,IA,42.4457754,-90.8504129
91,Duncansville,PA,40.4234058,-78.433903
92,Vista,CA,33.2000368,-117.2425355
93,Richmond,VA,37.5407246,-77.4360481
94,Grand Rapids,MI,42.9704146,-85.6721946
95,Wilmington,DE,39.744655,-75.5483909
96,Sacramento,CA,38.5781342,-121.4944209
97,Incline Village,NV,39.249683,-119.9526847
98,St Charles,MO,38.7833145,-90.4815802
99,Leland,NC,34.2293803,-78.03432120000001
100,Saint Paul,MN,44.9537029,-93.0899578
101,Avondale Estates,GA,33.7714939,-84.26714439999999
102,Somerville,MA,42.3875968,-71.0994968
103,Depew,NY,42.9039476,-78.6922515
104,Southaven,MS,34.9918587,-90.0022958
105,Cleveland,OH,41.49932,-81.6943605
106,Acworth,GA,34.0659329,-84.6768796
107,Santa Ana,CA,33.7454725,-117.867653
108,Middleton,WI,43.09721740000001,-89.5042876
109,Kimberly,WI,44.2722093,-88.3389952
110,St. Charles,IL,41.9141945,-88.3086867
111,Kansas City,MO,39.0997265,-94.5785667
112,Iowa City,IA,41.6578257,-91.53461689999999
113,Snohomish,WA,47.91287560000001,-122.0981848
114,Fort Collins,CO,40.5852602,-105.084423
115,Wichita,KS,37.693452,-97.3382202
116,Glen Burnie,MD,39.1648588,-76.6239226
117,Norfolk,VA,36.8507689,-76.28587259999999
118,De Pere,WI,44.4488805,-88.0603806
119,Warsaw,IN,41.2381,-85.8530469
120,Bellingham,WA,48.7519112,-122.4786854
121,Roseville,CA,38.7482609,-121.2832193
122,East Moline,IL,41.5008673,-90.4442979
123,Southlake,TX,32.9412363,-97.1341783
124,Westbrook,ME,43.6770252,-70.3711617
125,Hamilton,OH,39.39886790000001,-84.5587838
126,Anaheim,CA,33.8365932,-117.9143012
127,Las Vegas,NV,36.171563,-115.1391009
128,Kalamazoo,MI,42.2896532,-85.5856279
