date,small_text,event_name,date_dt,year,state,city,lat,lon
2025-07-10," Sharonville, OH, United States | Main Tournament | July 10, 2025",Arcade Legacy's Thursday Throwdown,2025-07-10,2025,OH,Sharonville,39.2681136,-84.4132746
2025-04-16," Toledo, OH, United States | League | April 16, 2025 to July 9, 2025",Toledo Pinball League - Season 5,2025-04-16,2025,OH,Toledo,41.6528052,-83.5378674
2025-07-09," Centerville, OH, United States | Main Tournament | July 9, 2025",Pinball Flip Out at Loose Ends Brewing,2025-07-09,2025,OH,Centerville,39.6283928,-84.1593818
2025-07-06," Cincinnati, OH, United States | Womens Division | July 6, 2025",Queen City Seawitches King Kong Launch Tournament,2025-07-06,2025,OH,Cincinnati,39.1031182,-84.5120196
2025-07-06," Toledo, OH, United States | Main Tournament | July 6, 2025",Toledo Pinball @ The Basement:Toledo's Pinball Pub,2025-07-06,2025,OH,Toledo,41.6528052,-83.5378674
2025-07-03," Sharonville, OH, United States | Main Tournament | July 3, 2025",Arcade Legacy's Thursday Throwdown,2025-07-03,2025,OH,Sharonville,39.2681136,-84.4132746
2025-07-03," Cleveland, OH, United States | Main Tournament | July 3, 2025",Pre-Holiday Fair Strike @ Pinball Planet,2025-07-03,2025,OH,Cleveland,41.49932,-81.6943605
2025-07-01," Cleveland, OH, United States | Main Tournament | July 1, 2025",Tuesday Target Play @ Pinball Planet,2025-07-01,2025,OH,Cleveland,41.49932,-81.6943605
2025-06-30," Hamilton, OH, United States | Launch Party | June 30, 2025",King Kong Launch Party at The Pinball Garage,2025-06-30,2025,OH,Hamilton,39.3988679,-84.5587838
2025-06-29," Toledo, OH, United States | Launch Party | June 29, 2025",King Kong Launch Party @ Wild Side,2025-06-29,2025,OH,Toledo,41.6528052,-83.5378674
2025-06-28," Parma Heights, OH, United States | Main Tournament | June 28, 2025",Pinball Planet Pingolf Summer 2025,2025-06-28,2025,OH,Parma Heights,41.3900518,-81.7595769
2025-06-27," Parma Heights, OH, United States | Main Tournament | June 27, 2025",Pinball Planet Womens Fair Strike Knockout,2025-06-27,2025,OH,Parma Heights,41.3900518,-81.7595769
2025-06-26," Sharonville, OH, United States | Main Tournament | June 26, 2025",Arcade Legacy's Thursday Throwdown,2025-06-26,2025,OH,Sharonville,39.2681136,-84.4132746
2025-06-26," Cleveland, OH, United States | Main Tournament | June 26, 2025",Thursday Night Knockout,2025-06-26,2025,OH,Cleveland,41.49932,-81.6943605
2025-06-24," Cleves, OH, United States | Main Tournament | June 24, 2025",Flipperz Fair Strikes Tournament,2025-06-24,2025,OH,Cleves,39.1617242,-84.749115
2025-04-21," Columbus, OH, United States | League | April 21, 2025 to June 23, 2025",Level One Silverball League Season 25,2025-04-21,2025,OH,Columbus,39.9625112,-83.0032218
2025-06-23," Liberty Township, OH, United States | Launch Party | June 23, 2025",King Kong Launch Party,2025-06-23,2025,OH,Liberty Township,39.401514,-84.4094359
2025-06-22," Toledo, OH, United States | Main Tournament | June 22, 2025",Toledo Pinball @ The Basement:Toledo's Pinball Pub,2025-06-22,2025,OH,Toledo,41.6528052,-83.5378674
2025-06-22," Toledo, OH, United States | Launch Party | June 22, 2025",Glass City Pinball @The Underground Bar,2025-06-22,2025,OH,Toledo,41.6528052,-83.5378674
2025-06-22," Saint Marys, OH, United States | Launch Party | June 22, 2025",King Kong Launch Party At The Comet,2025-06-22,2025,OH,Saint Marys,40.5425341,-84.3895701
