,id,name,street,city,state,zip,phone,lat,lon,website,created_at,updated_at,zone_id,region_id,location_type_id,description,operator_id,date_last_updated,last_updated_by_user_id,is_stern_army,country,ic_active,machine_count,last_updated_by_username,num_machines,location_machine_xrefs,year
0,22626,69 Taps,370 Paul Williams St,Akron,OH,44311,(330) 253-4554,41.0761812,-81.5231916,,2024-03-02 04:29:31.772000+00:00,2024-03-01T20:29:31.806-08:00,,32,4,,,2024-03-01,,,US,,1,,1,"[{'id': 150111, 'created_at': '2024-03-01T20:29:31.801-08:00', 'updated_at': '2024-03-01T20:29:31.801-08:00', 'location_id': 22626, 'machine_id': 2203, 'ic_enabled': None, 'machine': {'id': 2203, 'name': 'The Walking Dead (Pro)', 'updated_at': '2023-01-17T10:44:28.190-08:00', 'ipdb_link': 'https://www.ipdb.org/machine.cgi?id=6155', 'year': 2014, 'manufacturer': 'Stern', 'machine_group_id': 16, 'ipdb_id': 6155, 'opdb_id': 'G5nz5-M3d38', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/the-walking-dead-2014'}}]",2024
1,10696,Adventure Zone,5600 Lake Road East,Geneva,OH,44041,(440) 466-3555,41.858249,-80.957419,http://www.adventurezonefun.com/,2018-08-23 21:13:59.161000+00:00,2018-08-23T14:13:59.196-07:00,,32,42,,,2018-08-23,,,US,,1,,1,"[{'id': 56933, 'created_at': '2018-08-23T14:13:59.190-07:00', 'updated_at': '2018-08-23T14:13:59.190-07:00', 'location_id': 10696, 'machine_id': 2165, 'ic_enabled': None, 'machine': {'id': 2165, 'name': 'Star Trek (Pro)', 'updated_at': '2023-01-17T10:44:30.504-08:00', 'ipdb_link': 'https://www.ipdb.org/machine.cgi?id=6044', 'year': 2013, 'manufacturer': 'Stern', 'machine_group_id': 4, 'ipdb_id': 6044, 'opdb_id': 'Gryw4-MwNky', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/star-trek-2013'}}]",2018
2,19781,Arena 51 Laser Tag,13409 Smith Rd,Middleburg Heights,OH,44130,(440) 502-5320,41.3760725,-81.7920111,https://www.arena51lasertag.com,2023-04-05 23:12:36.675000+00:00,2025-06-28T12:07:53.627-07:00,,32,39,Laser tag facility,,2025-06-28,23665.0,,US,False,2,tomdidit,2,"[{'id': 161737, 'created_at': '2024-08-03T10:35:40.899-07:00', 'updated_at': '2025-01-08T09:23:20.004-08:00', 'location_id': 19781, 'machine_id': 3167, 'ic_enabled': False, 'machine': {'id': 3167, 'name': 'Jurassic Park (Pro)', 'updated_at': '2023-04-18T20:05:39.850-07:00', 'ipdb_link': 'https://www.ipdb.org/machine.cgi?id=6573', 'year': 2019, 'manufacturer': 'Stern', 'machine_group_id': 78, 'ipdb_id': 6573, 'opdb_id': 'GK17D-MdEqz', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/jurassic-park-2019'}}, {'id': 185451, 'created_at': '2025-06-28T12:08:49.990-07:00', 'updated_at': '2025-06-28T12:08:49.990-07:00', 'location_id': 19781, 'machine_id': 689, 'ic_enabled': None, 'machine': {'id': 689, 'name': 'White Water', 'updated_at': '2023-01-17T10:44:28.888-08:00', 'ipdb_link': 'https://www.ipdb.org/machine.cgi?id=2768', 'year': 1993, 'manufacturer': 'Williams', 'machine_group_id': None, 'ipdb_id': 2768, 'opdb_id': 'GRQKz-MyNXz', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/white-water-1993'}}]",2023
3,22563,Bailey's Pizza House,11991 Island Rd,Grafton,OH,44044,(440) 748-3104,41.3150032,-82.0008933,,2024-02-25 00:40:35.140000+00:00,2024-06-20T05:45:25.815-07:00,,32,4,,,2024-06-20,30968.0,,US,,1,clevepinball,1,"[{'id': 149440, 'created_at': '2024-02-24T16:40:35.188-08:00', 'updated_at': '2024-02-24T16:40:35.188-08:00', 'location_id': 22563, 'machine_id': 3099, 'ic_enabled': None, 'machine': {'id': 3099, 'name': 'The Munsters (Pro)', 'updated_at': '2023-04-18T20:00:30.697-07:00', 'ipdb_link': 'https://www.ipdb.org/machine.cgi?id=6564', 'year': 2019, 'manufacturer': 'Stern', 'machine_group_id': 74, 'ipdb_id': 6564, 'opdb_id': 'GbPde-M5Rkv', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/the-munsters-2019'}}]",2024
4,12153,Barley Jack's Pizza,5331 Center Road,Brunswick,OH,44212,330-460-6710,41.23856,-81.877673,http://barleyjackspizza.com,2019-05-06 22:13:50.557000+00:00,2024-10-14T12:05:37.185-07:00,,32,14,,,2024-10-14,35460.0,,US,,1,drchooch,1,"[{'id': 166527, 'created_at': '2024-10-14T12:05:37.180-07:00', 'updated_at': '2024-10-14T12:05:37.180-07:00', 'location_id': 12153, 'machine_id': 2843, 'ic_enabled': None, 'machine': {'id': 2843, 'name': 'Star Wars (Pro)', 'updated_at': '2023-04-18T20:00:58.952-07:00', 'ipdb_link': 'https://www.ipdb.org/machine.cgi?id=6428', 'year': 2017, 'manufacturer': 'Stern', 'machine_group_id': 64, 'ipdb_id': 6428, 'opdb_id': 'G5vLR-MwNwy', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/star-wars-2017'}}]",2019
5,26083,Bar Lucci,257 N Water St,Kent,OH,44240,,41.1557433,-81.3579236,https://www.barluccikent.com/,2025-04-16 02:51:44.946000+00:00,2025-07-07T14:54:14.826-07:00,,32,4,,,2025-07-07,38827.0,,US,True,6,mfdoom,6,"[{'id': 186294, 'created_at': '2025-07-07T14:54:50.223-07:00', 'updated_at': '2025-07-07T14:54:50.386-07:00', 'location_id': 26083, 'machine_id': 4533, 'ic_enabled': True, 'machine': {'id': 4533, 'name': 'King Kong: Myth of Terror Island (Pro)', 'updated_at': '2025-07-14T12:00:10.069-07:00', 'ipdb_link': None, 'year': 2025, 'manufacturer': 'Stern', 'machine_group_id': 125, 'ipdb_id': None, 'opdb_id': 'GEL0V-MBRyb', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/king-kong-myth-of-terror-island-2025'}}, {'id': 186293, 'created_at': '2025-07-07T14:54:14.819-07:00', 'updated_at': '2025-07-07T14:54:15.019-07:00', 'location_id': 26083, 'machine_id': 3226, 'ic_enabled': True, 'machine': {'id': 3226, 'name': 'Stranger Things (Pro)', 'updated_at': '2023-04-18T20:05:51.189-07:00', 'ipdb_link': 'https://www.ipdb.org/machine.cgi?id=6642', 'year': 2019, 'manufacturer': 'Stern', 'machine_group_id': 80, 'ipdb_id': 6642, 'opdb_id': 'Gzy89-MNEeO', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/stranger-things-2019'}}, {'id': 179591, 'created_at': '2025-04-15T19:51:44.966-07:00', 'updated_at': '2025-04-23T09:06:24.819-07:00', 'location_id': 26083, 'machine_id': 4516, 'ic_enabled': True, 'machine': {'id': 4516, 'name': ""Dungeons & Dragons: The Tyrant's Eye (Pro)"", 'updated_at': '2025-02-16T08:11:03.038-08:00', 'ipdb_link': None, 'year': 2025, 'manufacturer': 'Stern', 'machine_group_id': 121, 'ipdb_id': None, 'opdb_id': 'GK1Ej-MwNZr', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/dungeons--dragons-the-tyrants-eye-2025'}}, {'id': 179592, 'created_at': '2025-04-15T19:51:44.977-07:00', 'updated_at': '2025-06-22T09:25:35.973-07:00', 'location_id': 26083, 'machine_id': 3415, 'ic_enabled': True, 'machine': {'id': 3415, 'name': 'Godzilla (Pro)', 'updated_at': '2023-09-12T12:06:24.729-07:00', 'ipdb_link': 'https://www.ipdb.org/machine.cgi?id=6841', 'year': 2021, 'manufacturer': 'Stern', 'machine_group_id': 88, 'ipdb_id': 6841, 'opdb_id': 'GweeP-MW95j', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/godzilla-2021'}}, {'id': 179593, 'created_at': '2025-04-15T19:51:44.986-07:00', 'updated_at': '2025-04-23T09:06:48.945-07:00', 'location_id': 26083, 'machine_id': 3799, 'ic_enabled': True, 'machine': {'id': 3799, 'name': 'JAWS (Pro)', 'updated_at': '2024-02-08T12:19:47.619-08:00', 'ipdb_link': None, 'year': 2024, 'manufacturer': 'Stern', 'machine_group_id': 106, 'ipdb_id': None, 'opdb_id': 'GLWll-MXr4N', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/jaws-2024'}}, {'id': 185895, 'created_at': '2025-07-02T17:18:56.121-07:00', 'updated_at': '2025-07-02T17:18:56.371-07:00', 'location_id': 26083, 'machine_id': 3845, 'ic_enabled': True, 'machine': {'id': 3845, 'name': 'John Wick (Pro)', 'updated_at': '2024-05-18T07:24:16.627-07:00', 'ipdb_link': None, 'year': 2024, 'manufacturer': 'Stern', 'machine_group_id': 115, 'ipdb_id': None, 'opdb_id': 'GQK1P-MW9pj', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/john-wick-2024'}}]",2025
6,21607,Barons Bus Arena,5310 Hauserman Rd,Parma,OH,44130,(440) 882-3703,41.4160409,-81.7580195,https://clevelandathleticacademy.com/facility,2023-11-04 04:32:22.225000+00:00,2024-01-25T16:22:03.300-08:00,,32,35,Lobby of ice arena,,2023-11-03,,,US,False,1,,1,"[{'id': 141835, 'created_at': '2023-11-03T21:32:22.272-07:00', 'updated_at': '2024-01-25T16:22:03.281-08:00', 'location_id': 21607, 'machine_id': 3415, 'ic_enabled': False, 'machine': {'id': 3415, 'name': 'Godzilla (Pro)', 'updated_at': '2023-09-12T12:06:24.729-07:00', 'ipdb_link': 'https://www.ipdb.org/machine.cgi?id=6841', 'year': 2021, 'manufacturer': 'Stern', 'machine_group_id': 88, 'ipdb_id': 6841, 'opdb_id': 'GweeP-MW95j', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/godzilla-2021'}}]",2023
7,3398,Becky's Bar and Grill,1762 E 18th,Cleveland,OH,44114,,41.503995,-81.679682,,2013-01-19 17:54:53.864000+00:00,2023-09-26T16:26:35.403-07:00,,32,14,,,2023-09-26,22781.0,,US,,1,skors,1,"[{'id': 139404, 'created_at': '2023-09-26T16:26:35.395-07:00', 'updated_at': '2023-09-26T16:26:35.426-07:00', 'location_id': 3398, 'machine_id': 656, 'ic_enabled': None, 'machine': {'id': 656, 'name': 'Elvira and the Party Monsters', 'updated_at': '2023-01-17T10:44:29.686-08:00', 'ipdb_link': 'https://www.ipdb.org/machine.cgi?id=782', 'year': 1989, 'manufacturer': 'Bally', 'machine_group_id': None, 'ipdb_id': 782, 'opdb_id': 'Grlxp-MVKBW', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/elvira-and-the-party-monsters-1989'}}]",2013
8,25401,Beer Run & Some with Nimbus Vapors,17800 Chillicothe Rd,Chagrin Falls,OH,44023,(440) 708-1309,41.3851088,-81.3411648,,2025-01-24 18:04:16.093000+00:00,2025-06-29T15:57:33.434-07:00,,32,20,,615.0,2025-06-29,20292.0,,US,True,9,halldoc1,9,"[{'id': 175533, 'created_at': '2025-02-18T15:42:50.398-08:00', 'updated_at': '2025-07-10T17:21:36.578-07:00', 'location_id': 25401, 'machine_id': 3167, 'ic_enabled': True, 'machine': {'id': 3167, 'name': 'Jurassic Park (Pro)', 'updated_at': '2023-04-18T20:05:39.850-07:00', 'ipdb_link': 'https://www.ipdb.org/machine.cgi?id=6573', 'year': 2019, 'manufacturer': 'Stern', 'machine_group_id': 78, 'ipdb_id': 6573, 'opdb_id': 'GK17D-MdEqz', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/jurassic-park-2019'}}, {'id': 175532, 'created_at': '2025-02-18T15:42:34.162-08:00', 'updated_at': '2025-07-10T17:09:05.519-07:00', 'location_id': 25401, 'machine_id': 3288, 'ic_enabled': True, 'machine': {'id': 3288, 'name': 'The Mandalorian (Pro)', 'updated_at': '2023-09-14T11:44:15.769-07:00', 'ipdb_link': 'https://www.ipdb.org/machine.cgi?id=6828', 'year': 2021, 'manufacturer': 'Stern', 'machine_group_id': 85, 'ipdb_id': 6828, 'opdb_id': 'GBLLP-MkPpr', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/the-mandalorian-2021'}}, {'id': 176560, 'created_at': '2025-03-04T14:22:47.630-08:00', 'updated_at': '2025-06-29T15:25:18.500-07:00', 'location_id': 25401, 'machine_id': 3641, 'ic_enabled': True, 'machine': {'id': 3641, 'name': 'James Bond 007 (Premium)', 'updated_at': '2023-09-14T11:44:16.657-07:00', 'ipdb_link': 'https://www.ipdb.org/machine.cgi?id=6897', 'year': 2022, 'manufacturer': 'Stern', 'machine_group_id': 95, 'ipdb_id': 6897, 'opdb_id': 'GQKyP-MP3OK-AOEEx', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/james-bond-007-2022'}}, {'id': 176561, 'created_at': '2025-03-04T14:22:56.970-08:00', 'updated_at': '2025-05-02T16:31:32.713-07:00', 'location_id': 25401, 'machine_id': 3673, 'ic_enabled': True, 'machine': {'id': 3673, 'name': 'Foo Fighters (Pro)', 'updated_at': '2023-09-12T12:06:24.875-07:00', 'ipdb_link': None, 'year': 2023, 'manufacturer': 'Stern', 'machine_group_id': 99, 'ipdb_id': None, 'opdb_id': 'GpeoL-MyNPq', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/foo-fighters-2023'}}, {'id': 173424, 'created_at': '2025-01-24T10:04:16.115-08:00', 'updated_at': '2025-07-10T17:08:16.461-07:00', 'location_id': 25401, 'machine_id': 2843, 'ic_enabled': True, 'machine': {'id': 2843, 'name': 'Star Wars (Pro)', 'updated_at': '2023-04-18T20:00:58.952-07:00', 'ipdb_link': 'https://www.ipdb.org/machine.cgi?id=6428', 'year': 2017, 'manufacturer': 'Stern', 'machine_group_id': 64, 'ipdb_id': 6428, 'opdb_id': 'G5vLR-MwNwy', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/star-wars-2017'}}, {'id': 182798, 'created_at': '2025-05-28T05:45:47.838-07:00', 'updated_at': '2025-07-10T17:10:23.240-07:00', 'location_id': 25401, 'machine_id': 4533, 'ic_enabled': True, 'machine': {'id': 4533, 'name': 'King Kong: Myth of Terror Island (Pro)', 'updated_at': '2025-07-14T12:00:10.069-07:00', 'ipdb_link': None, 'year': 2025, 'manufacturer': 'Stern', 'machine_group_id': 125, 'ipdb_id': None, 'opdb_id': 'GEL0V-MBRyb', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/king-kong-myth-of-terror-island-2025'}}, {'id': 182824, 'created_at': '2025-05-28T10:07:59.972-07:00', 'updated_at': '2025-07-11T16:49:40.340-07:00', 'location_id': 25401, 'machine_id': 3415, 'ic_enabled': True, 'machine': {'id': 3415, 'name': 'Godzilla (Pro)', 'updated_at': '2023-09-12T12:06:24.729-07:00', 'ipdb_link': 'https://www.ipdb.org/machine.cgi?id=6841', 'year': 2021, 'manufacturer': 'Stern', 'machine_group_id': 88, 'ipdb_id': 6841, 'opdb_id': 'GweeP-MW95j', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/godzilla-2021'}}, {'id': 184815, 'created_at': '2025-06-18T12:32:16.132-07:00', 'updated_at': '2025-07-10T17:11:05.932-07:00', 'location_id': 25401, 'machine_id': 3799, 'ic_enabled': True, 'machine': {'id': 3799, 'name': 'JAWS (Pro)', 'updated_at': '2024-02-08T12:19:47.619-08:00', 'ipdb_link': None, 'year': 2024, 'manufacturer': 'Stern', 'machine_group_id': 106, 'ipdb_id': None, 'opdb_id': 'GLWll-MXr4N', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/jaws-2024'}}, {'id': 184816, 'created_at': '2025-06-18T12:32:27.006-07:00', 'updated_at': '2025-07-10T17:11:55.237-07:00', 'location_id': 25401, 'machine_id': 4516, 'ic_enabled': True, 'machine': {'id': 4516, 'name': ""Dungeons & Dragons: The Tyrant's Eye (Pro)"", 'updated_at': '2025-02-16T08:11:03.038-08:00', 'ipdb_link': None, 'year': 2025, 'manufacturer': 'Stern', 'machine_group_id': 121, 'ipdb_id': None, 'opdb_id': 'GK1Ej-MwNZr', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/dungeons--dragons-the-tyrants-eye-2025'}}]",2025
9,23459,Bleachers Sports Grill,6855 Ridge Rd,Parma,OH,44129,(440) 888-8900,41.3788571,-81.7334458,,2024-05-27 01:53:39.512000+00:00,2025-01-20T14:30:56.379-08:00,,32,14,Only one machine. Visited and verified on 5/24/2024.,,2025-01-20,36956.0,,US,False,1,raccoon,1,"[{'id': 156882, 'created_at': '2024-05-26T18:53:39.557-07:00', 'updated_at': '2025-01-20T14:30:56.404-08:00', 'location_id': 23459, 'machine_id': 3099, 'ic_enabled': False, 'machine': {'id': 3099, 'name': 'The Munsters (Pro)', 'updated_at': '2023-04-18T20:00:30.697-07:00', 'ipdb_link': 'https://www.ipdb.org/machine.cgi?id=6564', 'year': 2019, 'manufacturer': 'Stern', 'machine_group_id': 74, 'ipdb_id': 6564, 'opdb_id': 'GbPde-M5Rkv', 'kineticist_url': 'https://www.kineticist.com/pinball-machines/the-munsters-2019'}}]",2024
