Category: All categories

Month,pinball: (United States)
2004-01,98
2004-02,86
2004-03,82
2004-04,74
2004-05,82
2004-06,85
2004-07,83
2004-08,88
2004-09,78
2004-10,86
2004-11,94
2004-12,100
2005-01,76
2005-02,71
2005-03,79
2005-04,66
2005-05,68
2005-06,63
2005-07,69
2005-08,66
2005-09,58
2005-10,64
2005-11,77
2005-12,85
2006-01,69
2006-02,65
2006-03,60
2006-04,58
2006-05,58
2006-06,56
2006-07,62
2006-08,59
2006-09,56
2006-10,62
2006-11,69
2006-12,70
2007-01,55
2007-02,58
2007-03,52
2007-04,52
2007-05,51
2007-06,51
2007-07,49
2007-08,55
2007-09,52
2007-10,48
2007-11,62
2007-12,58
2008-01,51
2008-02,51
2008-03,52
2008-04,54
2008-05,50
2008-06,48
2008-07,49
2008-08,53
2008-09,47
2008-10,47
2008-11,55
2008-12,55
2009-01,51
2009-02,49
2009-03,49
2009-04,46
2009-05,52
2009-06,47
2009-07,46
2009-08,49
2009-09,43
2009-10,50
2009-11,54
2009-12,52
2010-01,51
2010-02,61
2010-03,57
2010-04,47
2010-05,48
2010-06,43
2010-07,41
2010-08,41
2010-09,40
2010-10,45
2010-11,47
2010-12,54
2011-01,52
2011-02,49
2011-03,48
2011-04,47
2011-05,46
2011-06,44
2011-07,45
2011-08,45
2011-09,42
2011-10,42
2011-11,43
2011-12,48
2012-01,47
2012-02,46
2012-03,47
2012-04,49
2012-05,49
2012-06,46
2012-07,44
2012-08,49
2012-09,44
2012-10,37
2012-11,39
2012-12,42
2013-01,40
2013-02,43
2013-03,43
2013-04,37
2013-05,37
2013-06,37
2013-07,36
2013-08,36
2013-09,33
2013-10,35
2013-11,40
2013-12,40
2014-01,37
2014-02,34
2014-03,34
2014-04,34
2014-05,34
2014-06,32
2014-07,33
2014-08,35
2014-09,32
2014-10,36
2014-11,35
2014-12,36
2015-01,38
2015-02,32
2015-03,34
2015-04,32
2015-05,34
2015-06,32
2015-07,34
2015-08,33
2015-09,30
2015-10,32
2015-11,32
2015-12,35
2016-01,36
2016-02,33
2016-03,33
2016-04,31
2016-05,33
2016-06,31
2016-07,32
2016-08,31
2016-09,29
2016-10,31
2016-11,32
2016-12,34
2017-01,34
2017-02,35
2017-03,34
2017-04,33
2017-05,32
2017-06,31
2017-07,34
2017-08,33
2017-09,29
2017-10,33
2017-11,35
2017-12,38
2018-01,35
2018-02,37
2018-03,39
2018-04,35
2018-05,38
2018-06,35
2018-07,36
2018-08,35
2018-09,33
2018-10,34
2018-11,37
2018-12,38
2019-01,36
2019-02,37
2019-03,39
2019-04,34
2019-05,34
2019-06,40
2019-07,36
2019-08,35
2019-09,35
2019-10,35
2019-11,37
2019-12,40
2020-01,38
2020-02,37
2020-03,29
2020-04,28
2020-05,28
2020-06,30
2020-07,29
2020-08,29
2020-09,28
2020-10,31
2020-11,29
2020-12,33
2021-01,31
2021-02,31
2021-03,31
2021-04,32
2021-05,32
2021-06,31
2021-07,35
2021-08,32
2021-09,33
2021-10,32
2021-11,36
2021-12,38
2022-01,42
2022-02,40
2022-03,42
2022-04,40
2022-05,36
2022-06,36
2022-07,41
2022-08,40
2022-09,37
2022-10,37
2022-11,40
2022-12,46
2023-01,43
2023-02,43
2023-03,50
2023-04,41
2023-05,37
2023-06,36
2023-07,42
2023-08,38
2023-09,37
2023-10,40
2023-11,43
2023-12,50
2024-01,43
2024-02,42
2024-03,45
2024-04,40
2024-05,38
2024-06,38
2024-07,37
2024-08,38
2024-09,38
2024-10,35
2024-11,40
2024-12,42
2025-01,43
2025-02,37
2025-03,41
2025-04,37
2025-05,34
2025-06,40
2025-07,36
